P,Q,R,S
0.10799226191443148,0.37370981107251555,0.3792773542668898,0.1907640324833177
0.0072735475945758105,0.329170897463718,0.58709038782435,0.17027614977778022
0.2625413405692399,0.38611609985491685,0.5143004680847781,0.1625728806026354
0.8339921751175691,0.7393980407335881,0.48352642529312573,0.35007428846136546
0.9125644795120765,0.7956634296602858,0.41315039910095336,0.408215426413941
0.7991535077277072,0.7100190332546836,0.5042647779592243,0.33016209048007256
0.34302760955799344,0.544003418049495,0.5421020861671177,0.2759969218521728
0.4668863301100083,0.6706739655835618,0.46041776666794854,0.27951991541528776
0.13411743004281226,0.06047029176668764,0.8819121193597672,0.2514465941739331
0.7683860679614888,0.6546616061157342,0.7093623248876213,0.27316874774522376
0.7105208038062534,0.5418825640901418,0.7229595162752993,0.3426766338513688
0.9111359625837913,0.8587619168403477,0.4411271994616809,0.4428500908639853
0.6002848312932392,0.44948917914368947,0.7087700086087442,0.24187713388530888
0.42649031909535495,0.4184922202819843,0.5050200011435657,0.22691382439998134
0.13779272424433178,0.47037034936555855,0.4363836359947197,0.21550017732014168
0.009612771877698772,0.1626751983586357,0.6666081060623411,0.06802828315339443
0.1375962214666617,0.3633576623089638,0.48806965490868137,0.17340201472970973
0.5316040864230831,0.462431649807441,0.5594208517322176,0.2498140101530707
0.284812557999107,0.31443329983215984,0.4688507023370665,0.06864898448183485
0.3976430831417198,0.5115155702927241,0.5078742799488304,0.23358779604963698
0.8049169132586944,0.6633240997239653,0.43420241091628753,0.37981041016411976
0.7106253411336497,0.673635389454138,0.45588242924543265,0.34800250266934696
0.9645486521034919,0.7773199420405923,0.6133615265221217,0.42219991234446186
0.1426445334225766,0.2865475203358113,0.6905769480407502,0.09641699839634962
0.8875225344051253,0.5929435373902601,0.6420851579775299,0.2260898149018858
0.6895157661861789,0.6399696490832533,0.6049102180962305,0.34933125292205575
0.33494340182688287,0.4661273952542837,0.5255961570077925,0.18335043513488258
0.6190250543914034,0.5494660110583272,0.5326602772542366,0.23184607714638097
0.03916398803420818,0.2607394739388137,0.6923347976496829,0.14788435002660122
0.3523344539590377,0.48343197395708704,0.49014108141364354,0.2245899116552858
0.2529391028319996,0.41312476908702345,0.4697038149967999,0.23527128114539345
0.051770834957086856,0.3576735455645595,0.43892055629638804,0.24828128301592878
0.673618726903252,0.6329712950451403,0.37174908566964593,0.31327067393703323
0.7277923043412239,0.5516010257016934,0.6910565550888852,0.2640460738015805
0.5488497442538236,0.5725802591849599,0.3703893311974203,0.26504317458136767
0.6191748193630293,0.692020316611631,0.42211833900105067,0.3350122869630337
0.09072535631436351,0.21787206837641726,0.7112163817813544,0.020674288920727965
0.8949401787485861,0.7597768098040163,0.4895847524574021,0.39869659819139047
0.7391257652790325,0.8035666667207162,0.616390261510002,0.3223203297474525
0.6124996402678057,0.36998277791767104,0.709934195536456,0.15829817104335467
0.06648855726103464,0.25509321382803446,0.6461994473036149,0.20076953815858437
0.10848574796682403,0.2720349954716083,0.5668247930671484,0.15902622240892111
0.4662726457889404,0.4847582491087358,0.45190040038837737,0.22162380354416675
0.18091371816441112,0.36073591371981645,0.46335648115823674,0.20995707271894212
0.37163981905595805,0.5444468440261122,0.5059258928779826,0.24881694427361184
0.32300853493603393,0.47375675062368455,0.4843833117997657,0.26002281916704784
0.483736985278968,0.5071682415817639,0.6179650771491324,0.23634217735670224
0.594325345742834,0.5630296809280435,0.6550501877606735,0.2180835372132242
0.30863829374305785,0.3316638250254799,0.5660235078442835,0.1671883289267227
0.900844497957927,0.6408418398722366,0.6956403083561521,0.3884273587873056
0.47161592281172315,0.4662236177699433,0.5519386613136493,0.25444366962961207
0.9110367277625594,0.6930170848635537,0.5101492262687725,0.30304415382147026
0.951002197860607,0.7505347390544956,0.7261348299147931,0.40454559711105564
0.18009822641469364,0.42953453364190336,0.3547242703562552,0.27570114082891817
0.7770940632151777,0.6064412974732385,0.4958983271879669,0.22544915416188577
0.9633516298221614,0.8576873444763722,0.43794859434689504,0.3696863421749432
0.8866259740121226,0.7516595755590048,0.6279592551876079,0.26811399440442185
0.46845455294749566,0.37855968382921024,0.7383138381006609,0.20708743336517893
0.9884878563985497,0.8500456281600932,0.5176367233038548,0.4465364271823386
0.9159843543312662,0.7814394313550679,0.6312225366459955,0.30193931847257127
0.5254888407927435,0.3650456845658647,0.6649273204003027,0.17777795101363414
0.27582866199318284,0.2221474080684466,0.8309542083600844,0.2587304982625394
0.1604301208015349,0.33467360637236027,0.363834281650253,0.26481333185182426
0.5590932582755944,0.4757972675413218,0.618160552218785,0.21932477506099918
0.2267543151580851,0.39151567884736505,0.4410538209719408,0.22200449208458525
0.657475039153231,0.4690397458744172,0.7433384345941518,0.21238601890954514
0.7750198351097601,0.7062741659236534,0.4716245293765621,0.382792259952762
0.46709328431865016,0.6130991849664305,0.5578887822199055,0.2520730913343036
0.7408487107393449,0.7877732474038164,0.3583342669307634,0.47302648692320526
0.16626714355422517,0.3771344659180069,0.51862412383052,0.23949605638061788
