M,C,D,H,W,A
0.13297872340425532,1.0,0.7286821705426356,0.6467391304347826,0.7360362914658349,0.23809523809523808
0.425531914893617,0.2,0.056847545219638244,0.1358695652173913,0.17295151686986107,0.5059523809523809
0.19148936170212763,0.6,0.2454780361757106,0.47282608695652173,0.5094981570740006,0.4642857142857143
0.41223404255319146,0.2,0.07751937984496124,0.07608695652173914,0.15622341933654665,0.8392857142857143
0.6356382978723404,0.2,0.13178294573643412,0.29347826086956524,0.2840941309895095,0.40476190476190477
0.5585106382978723,0.2,0.1731266149870801,0.20652173913043478,0.21888290331726679,0.2916666666666667
0.3351063829787234,0.2,0.13695090439276486,0.375,0.33512900481996033,0.45833333333333326
0.3324468085106383,0.6,0.42118863049095606,0.375,0.46271618939608733,0.44047619047619047
0.2925531914893617,0.6,0.3359173126614987,0.266304347826087,0.4221718174085625,0.5059523809523809
0.3723404255319149,0.2,0.1343669250645995,0.27717391304347827,0.2531896796144032,0.38690476190476186
0.2978723404255319,1.0,0.6046511627906976,0.5054347826086957,0.5548624893677346,0.28571428571428575
0.5319148936170213,0.2,0.07493540051679587,0.17391304347826086,0.09271335412531896,0.38690476190476186
0.2872340425531915,0.6,0.34108527131782945,0.21195652173913043,0.39041678480294867,0.6071428571428571
0.9388297872340424,0.2,0.056847545219638244,0.010869565217391304,0.13382478026651545,0.8154761904761904
0.39361702127659576,0.2,0.2144702842377261,0.21195652173913043,0.3521406294301106,0.5714285714285715
0.23936170212765956,0.6,0.42377260981912146,0.29347826086956524,0.47490785370002836,0.4464285714285714
0.7180851063829787,0.2,0.07751937984496124,0.13043478260869565,0.14516586333994896,0.5535714285714286
0.45212765957446804,0.2,0.12403100775193798,0.15760869565217392,0.17947263963708535,0.35714285714285715
0.6648936170212766,0.2,0.11369509043927649,0.22826086956521738,0.22171817408562516,0.5952380952380952
0.40425531914893614,0.6,0.20155038759689922,0.40217391304347827,0.3734051601927984,0.3452380952380953
0.5531914893617021,0.2,0.17054263565891473,0.2391304347826087,0.3113127303657499,0.4464285714285714
0.5585106382978723,0.2,0.07751937984496124,0.11956521739130435,0.1536716756450241,0.5059523809523809
0.5851063829787234,0.2,0.020671834625323,0.03260869565217391,0.010206974766090162,0.5059523809523809
0.2526595744680851,0.6,0.4702842377260982,0.34782608695652173,0.5761270201304225,0.488095238095238
0.26595744680851063,0.6,0.4702842377260982,0.22826086956521738,0.4788772327757301,0.4464285714285714
0.6170212765957447,0.2,0.10335917312661498,0.15760869565217392,0.18485965409696625,0.4285714285714285
0.45212765957446804,0.2,0.07493540051679587,0.0,0.062943011057556,0.7440476190476191
0.3723404255319149,0.2,0.12144702842377261,0.266304347826087,0.3064927700595407,0.41666666666666663
0.3723404255319149,0.2,0.18604651162790697,0.20108695652173914,0.2908987808335696,0.5357142857142857
0.3191489361702127,0.2,0.18604651162790697,0.14130434782608695,0.2234193365466402,0.6845238095238095
0.15957446808510636,1.0,0.9328165374677002,0.8260869565217391,0.7734618656081655,0.11904761904761904
0.7101063829787234,0.2,0.07751937984496124,0.18478260869565216,0.08562517720442302,0.38095238095238093
0.4361702127659574,0.4,0.2971576227390181,0.16847826086956522,0.5435214062943011,0.7202380952380953
0.44680851063829785,0.2,0.22739018087855298,0.25,0.2855117663736887,0.38095238095238093
0.18617021276595744,1.0,0.7312661498708011,0.5597826086956522,0.7717607031471505,0.38690476190476186
0.10638297872340426,1.0,0.7545219638242894,0.6739130434782609,0.8622058406577828,0.2976190476190476
0.3324468085106383,0.2,0.13695090439276486,0.34782608695652173,0.27984122483697194,0.28571428571428575
0.10638297872340426,1.0,0.6046511627906976,0.45108695652173914,0.44116813155656365,0.23809523809523808
0.3191489361702127,0.2,0.13953488372093023,0.21739130434782608,0.1738020981003686,0.5059523809523809
0.39893617021276595,0.2,0.10077519379844961,0.2391304347826087,0.2316416217748795,0.38690476190476186
0.4893617021276595,0.2,0.13695090439276486,0.18478260869565216,0.2996881202154806,0.41666666666666663
0.23936170212765956,0.6,0.42377260981912146,0.29347826086956524,0.3334278423589453,0.41666666666666663
0.5319148936170213,0.2,0.07751937984496124,0.20108695652173914,0.17181740856251773,0.5059523809523809
0.5851063829787234,0.2,0.028423772609819122,0.11413043478260869,0.09554862489367735,0.6547619047619048
0.5053191489361702,0.2,0.12403100775193798,0.2391304347826087,0.1445988091862773,0.35714285714285715
0.5824468085106382,0.2,0.09560723514211886,0.15760869565217392,0.17493620640771193,0.38690476190476186
0.3723404255319149,0.2,0.07493540051679587,0.043478260869565216,0.18174085625177205,0.9226190476190476
0.23936170212765956,0.2,0.13695090439276486,0.358695652173913,0.3742557414233059,0.38690476190476186
0.30851063829787234,0.6,0.40568475452196384,0.34782608695652173,0.4953218032322087,0.511904761904762
0.7712765957446808,0.2,0.059431524547803614,0.11413043478260869,0.10830734335129005,0.488095238095238
0.22606382978723402,1.0,0.6124031007751938,0.5380434782608695,0.6427558831868443,0.26785714285714285
0.45212765957446804,0.2,0.10335917312661498,0.2554347826086957,0.22058406577828182,0.4464285714285714
0.13297872340425532,1.0,0.8578811369509044,0.7010869565217391,0.8083356960589736,0.20833333333333331
0.4840425531914893,0.2,0.18863049095607234,0.1358695652173913,0.4471222001701162,1.0
0.5851063829787234,0.2,0.11369509043927649,0.21195652173913043,0.27275304791607596,0.488095238095238
