A,T,S,L,B,E,X,D
0.9628548970174987,0.7517940082898215,0.1178828533207368,0.9035333433928255,0.2698208354750237,0.5992935984628686,0.7111406671854859,1.0
0.9172409782327154,0.8604705702387927,0.28255388535297893,0.8408599394180651,0.9399204818176371,0.6471374228947763,0.7920393962765866,1.0
0.7110770204443322,0.7948117752664731,0.6604054908574479,0.9529799284412029,0.9535342977138327,0.5798014249020671,0.58280266190416,1.0
0.5744556924789348,0.9951929969752926,0.6624136072065172,0.7102380468542049,0.613040929064428,0.5955474428982848,0.3900392439775272,1.0
0.9313926671328758,0.8730874754872341,0.0372537761236905,0.8502066334295395,0.47319058114530405,0.8104291018448315,0.9201931283208651,1.0
0.7908725962224531,0.6848710696346859,0.740819386110471,0.7225225705958577,0.5746733207533068,0.977211457236686,0.6615500990074756,0.0
0.908945306941506,0.6150577837761471,0.04155829979833009,0.8263661134108208,0.5123863312731927,0.6468235868497749,0.5688635676969358,1.0
0.75934100935541,0.612845243570823,0.024923996349318515,0.6540402486168713,0.25556724902104455,0.5254508070533414,0.05381130069133149,0.0
0.8790806592228277,0.637469353997936,0.6049719616165834,0.518036278579607,0.5968215332036199,0.7764273227494992,0.7234109110441237,1.0
0.9243086160332613,0.6054784368774148,0.8288147346661358,0.8988213077911644,0.7718960578188513,0.9777333134380763,0.6080650643448934,0.0
0.8755300737403413,0.538076812688496,0.031110312730927913,0.9949489069452004,0.6906573538892601,0.9000826613674162,0.603719978876404,1.0
0.6780316450487373,0.87819560869097,0.9189320518372712,0.6954686107386968,0.6591801190635782,0.6584917269039795,0.7778262369645627,1.0
0.7638463649823116,0.5739538814757619,0.9447585569502096,0.7856247579674486,0.19386333255057092,0.5032995295685238,0.5464371680921662,1.0
0.7831299855136524,0.7294156886590485,0.9689245572196548,0.8795773333684195,0.7110430345913802,0.653178130433878,0.17777543609551216,1.0
0.8953040333196828,0.571156121346438,0.015260269241799126,0.8038669012177317,0.25691786992963794,0.9506669249778417,0.5495816366737519,1.0
0.7979013706959868,0.8908708089556757,0.00634887544341379,0.6282533250451539,0.9288402116527821,0.9564892388634797,0.5244068379037354,1.0
0.5874060690617244,0.9121890639281646,0.015879889154650224,0.9953917289843568,0.9680579403339312,0.7031138335157863,0.516328978218357,1.0
0.7658100653671829,0.9336589730964795,0.19207958098096145,0.5241409665458828,0.6670201284159117,0.8997596636026097,0.5912938832855515,1.0
0.5638899726720377,0.6641119632150486,0.9008943518383837,0.8917456126202947,0.14458498765255798,0.5293524964779427,0.9161671285854129,0.0
0.8244985623492821,0.967892428542576,0.390708913086032,0.5838995254550451,0.1236409986014082,0.6778898065820308,0.7469555568913514,0.0
0.535720368615531,0.7798310593573948,0.8106253508708731,0.6657865746867622,0.9289164678044479,0.8528049053938975,0.5624388220565335,1.0
0.9541261097933201,0.8123128234134784,0.9578461081169768,0.6728139597229968,0.9729277799577257,0.9601111330647858,0.912908727170834,1.0
0.5680278544442884,0.7038325267686182,0.6191803734080835,0.5135572424959117,0.6779268582116553,0.6195034110112777,0.6643213314575778,0.0
0.7395158553651584,0.7452003630103825,0.08211882687485315,0.9295205972613986,0.23197490000380272,0.5465500293854115,0.9733780514949154,0.0
0.6833371188554181,0.9928847782217955,0.06957901479821858,0.9744680366508827,0.533560220507957,0.5568391526567177,0.7203627189552423,1.0
0.8834883478141475,0.9887889405525062,0.07725571000117888,0.5728813326268768,0.23550419444630205,0.9733775892376592,0.5719580099363409,0.0
0.5209171981272809,0.8782182326203054,0.45737834936874505,0.7404409003709743,0.48711357973150604,0.7611225484276617,0.8689189908537283,0.0
0.5495949739884813,0.5789541899666526,0.702502334059535,0.7534963494406335,0.23283237933230677,0.8754780561230187,0.6683379976297018,0.0
0.8471543974694715,0.8349669511217881,0.1615162207022886,0.7531888403776554,0.17477220315616623,0.6554259650422116,0.22040040087218365,0.0
0.6535388965614338,0.7750566070972803,0.8942468167230931,0.5451433267132694,0.8434767258021459,0.879782809559243,0.6221593008549773,1.0
0.8181186592811892,0.8492959739445186,0.5511554321934693,0.7889513590520829,0.691587738415116,0.5074580125724621,0.7853240955995033,1.0
0.8770283771526988,0.5962478762720602,0.3876427606307854,0.7125372869509694,0.5328430922563887,0.51007711316784,0.7184887997537688,1.0
0.9418794764437491,0.9058153154340103,0.6721663044628291,0.8779089653324152,0.9086043469638885,0.8208150455780292,0.881833803795982,1.0
0.5818464350591327,0.7667347779015786,0.11166179873172766,0.6849818324044148,0.7332563973006662,0.5754498062336548,0.8499097624069697,1.0
0.9511610536646816,0.977168861687414,0.7267942591733821,0.7584720289379747,0.893446462908818,0.5056360216146021,0.5188273937772033,1.0
0.6479129183627659,0.82232703810983,0.25149854382006853,0.5604930470028529,0.9021248759128389,0.5711701454282009,0.7021503683024846,1.0
0.5122836947176753,0.5187363046359678,0.40338798180029756,0.7517663830393276,0.8316202858686653,0.9082471419778347,0.5518747897277028,1.0
0.6159572374799931,0.5235385421940444,0.47416224926452005,0.9837135447381269,0.8165942689774909,0.8099376023612339,0.6526335678229902,1.0
0.5364124381362301,0.7223093140896879,0.14158638757196623,0.26438945455419277,0.30809106015506665,0.13919742392343956,0.5380551639060642,1.0
0.5028037391205068,0.8341607578873085,0.06224294519182399,0.7691022304358943,0.9763733877068821,0.9554395984967444,0.6381447887660618,0.0
0.8446494707541714,0.6834084302353829,0.8400512042976371,0.8363091774081988,0.5503792744595711,0.6507210926961544,0.5184203353378077,1.0
0.5652528356757635,0.829615941954929,0.3640995622060733,0.21976391089776343,0.6057421492302926,0.20141118373741912,0.9249159665037435,0.0
0.5570333623189144,0.8185463939621367,0.3011725950483405,0.531833531928983,0.470872554139847,0.60172248758923,0.8157692976522622,1.0
0.9015591489406811,0.772112845381094,0.5057525998241841,0.9986980540378483,0.5811437056235933,0.7276592290656112,0.23303019430547126,0.0
0.3149936148523266,0.6781189160048116,0.08068401025356475,0.5384171999597538,0.24512479720905486,0.8075195481325308,0.5013018849122408,1.0
